Date : 2025-05-20 16:39:15
Directory : c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim
Total : 397 files,  42390 codes, 5503 comments, 6337 blanks, all 54230 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| app\main\ui\settings_window                                                                                                                                                         |          4 |        413 |         32 |         71 |        516 |
| cmake-build-debug                                                                                                                                                                   |         34 |      8,675 |        127 |        620 |      9,422 |
| cmake-build-debug (Files)                                                                                                                                                           |          5 |      1,097 |          0 |        135 |      1,232 |
| cmake-build-debug\.cmake                                                                                                                                                            |         13 |      5,101 |          0 |         13 |      5,114 |
| cmake-build-debug\.cmake\api                                                                                                                                                        |         13 |      5,101 |          0 |         13 |      5,114 |
| cmake-build-debug\.cmake\api\v1                                                                                                                                                     |         13 |      5,101 |          0 |         13 |      5,114 |
| cmake-build-debug\.cmake\api\v1\reply                                                                                                                                               |         13 |      5,101 |          0 |         13 |      5,114 |
| cmake-build-debug\CMakeFiles                                                                                                                                                        |          7 |      2,019 |        127 |        381 |      2,527 |
| cmake-build-debug\CMakeFiles (Files)                                                                                                                                                |          1 |        465 |          4 |         26 |        495 |
| cmake-build-debug\CMakeFiles\3.30.5                                                                                                                                                 |          6 |      1,554 |        123 |        355 |      2,032 |
| cmake-build-debug\CMakeFiles\3.30.5 (Files)                                                                                                                                         |          4 |        158 |          0 |         49 |        207 |
| cmake-build-debug\CMakeFiles\3.30.5\CompilerIdC                                                                                                                                     |          1 |        689 |         61 |        155 |        905 |
| cmake-build-debug\CMakeFiles\3.30.5\CompilerIdCXX                                                                                                                                   |          1 |        707 |         62 |        151 |        920 |
| cmake-build-debug\Testing                                                                                                                                                           |          1 |          3 |          0 |          1 |          4 |
| cmake-build-debug\Testing\Temporary                                                                                                                                                 |          1 |          3 |          0 |          1 |          4 |
| cmake-build-debug\third_party                                                                                                                                                       |          8 |        455 |          0 |         90 |        545 |
| cmake-build-debug\third_party\ftxui                                                                                                                                                 |          8 |        455 |          0 |         90 |        545 |
| cmake-build-debug\third_party\ftxui (Files)                                                                                                                                         |          2 |        167 |          0 |         32 |        199 |
| cmake-build-debug\third_party\ftxui\CMakeFiles                                                                                                                                      |          2 |        143 |          0 |         26 |        169 |
| cmake-build-debug\third_party\ftxui\CMakeFiles\Export                                                                                                                               |          2 |        143 |          0 |         26 |        169 |
| cmake-build-debug\third_party\ftxui\CMakeFiles\Export\418a5211b54bdfa9fa029e8a3112c4d3                                                                                              |          2 |        143 |          0 |         26 |        169 |
| cmake-build-debug\third_party\ftxui\cmake                                                                                                                                           |          2 |         79 |          0 |         18 |         97 |
| cmake-build-debug\third_party\ftxui\doc                                                                                                                                             |          1 |         33 |          0 |          7 |         40 |
| cmake-build-debug\third_party\ftxui\examples                                                                                                                                        |          1 |         33 |          0 |          7 |         40 |
| documentation                                                                                                                                                                       |          1 |         23 |          0 |         20 |         43 |
| grid-container-ftxui                                                                                                                                                                |          7 |        177 |          1 |         51 |        229 |
| grid-container-ftxui (Files)                                                                                                                                                        |          2 |         69 |          0 |         21 |         90 |
| grid-container-ftxui\cmake                                                                                                                                                          |          1 |         17 |          0 |          4 |         21 |
| grid-container-ftxui\example                                                                                                                                                        |          2 |         46 |          0 |         13 |         59 |
| grid-container-ftxui\include                                                                                                                                                        |          1 |          9 |          0 |          4 |         13 |
| grid-container-ftxui\include\ftxui-grid-container                                                                                                                                   |          1 |          9 |          0 |          4 |         13 |
| grid-container-ftxui\src                                                                                                                                                            |          1 |         36 |          1 |          9 |         46 |
| grid-container-ftxui\src\ftxui-grid-container                                                                                                                                       |          1 |         36 |          1 |          9 |         46 |
| testprog                                                                                                                                                                            |         17 |      1,413 |          0 |         17 |      1,430 |
| third_party                                                                                                                                                                         |        287 |     29,042 |      5,178 |      5,060 |     39,280 |
| third_party\ftxui                                                                                                                                                                   |        287 |     29,042 |      5,178 |      5,060 |     39,280 |
| third_party\ftxui (Files)                                                                                                                                                           |          4 |        880 |          0 |        222 |      1,102 |
| third_party\ftxui\.bcr                                                                                                                                                              |          4 |         48 |          0 |          7 |         55 |
| third_party\ftxui\.github                                                                                                                                                           |          5 |        280 |         14 |         52 |        346 |
| third_party\ftxui\.github (Files)                                                                                                                                                   |          1 |          1 |          0 |          1 |          2 |
| third_party\ftxui\.github\workflows                                                                                                                                                 |          4 |        279 |         14 |         51 |        344 |
| third_party\ftxui\cmake                                                                                                                                                             |         12 |        378 |          0 |         58 |        436 |
| third_party\ftxui\doc                                                                                                                                                               |          6 |      1,190 |         42 |        312 |      1,544 |
| third_party\ftxui\examples                                                                                                                                                          |         95 |      4,951 |        409 |        836 |      6,196 |
| third_party\ftxui\examples (Files)                                                                                                                                                  |          6 |        267 |          5 |         48 |        320 |
| third_party\ftxui\examples\component                                                                                                                                                |         51 |      3,280 |        267 |        541 |      4,088 |
| third_party\ftxui\examples\dom                                                                                                                                                      |         38 |      1,404 |        137 |        247 |      1,788 |
| third_party\ftxui\include                                                                                                                                                           |         33 |      2,066 |        483 |        502 |      3,051 |
| third_party\ftxui\include\ftxui                                                                                                                                                     |         33 |      2,066 |        483 |        502 |      3,051 |
| third_party\ftxui\include\ftxui\component                                                                                                                                           |         11 |        804 |        209 |        233 |      1,246 |
| third_party\ftxui\include\ftxui\dom                                                                                                                                                 |         11 |        564 |        175 |        142 |        881 |
| third_party\ftxui\include\ftxui\screen                                                                                                                                              |          9 |        508 |         73 |         93 |        674 |
| third_party\ftxui\include\ftxui\util                                                                                                                                                |          2 |        190 |         26 |         34 |        250 |
| third_party\ftxui\src                                                                                                                                                               |        125 |     19,224 |      4,223 |      3,064 |     26,511 |
| third_party\ftxui\src\ftxui                                                                                                                                                         |        125 |     19,224 |      4,223 |      3,064 |     26,511 |
| third_party\ftxui\src\ftxui\component                                                                                                                                               |         44 |      8,180 |      1,733 |      1,458 |     11,371 |
| third_party\ftxui\src\ftxui\dom                                                                                                                                                     |         69 |      8,169 |      2,166 |      1,294 |     11,629 |
| third_party\ftxui\src\ftxui\screen                                                                                                                                                  |         11 |      2,821 |        321 |        301 |      3,443 |
| third_party\ftxui\src\ftxui\util                                                                                                                                                    |          1 |         54 |          3 |         11 |         68 |
| third_party\ftxui\tools                                                                                                                                                             |          3 |         25 |          7 |          7 |         39 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                                                                                            | language        | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\CMakeLists.txt                                                                                                   | CMake           |         57 |          0 |          9 |         66 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\README.md                                                                                                        | Markdown        |         63 |          0 |          9 |         72 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\app.cpp                                                                                                 | C++             |         43 |         14 |         14 |         71 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\decode.cpp                                                                                              | C++             |        144 |          1 |         14 |        159 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\decode.h                                                                                                | C++             |         13 |          0 |          4 |         17 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\exec\bit.cpp                                                                                            | C++             |         44 |         19 |         16 |         79 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\exec\bit.h                                                                                              | C++             |         17 |          0 |          6 |         23 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\exec\byte.cpp                                                                                           | C++             |        227 |          1 |         65 |        293 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\exec\byte.h                                                                                             | C++             |         33 |          0 |          7 |         40 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\exec\exwatcher.h                                                                                        | C++             |         15 |          0 |          6 |         21 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\exec\instructionex.cpp                                                                                  | C++             |        334 |         15 |         36 |        385 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\exec\instructionex.h                                                                                    | C++             |         76 |          3 |         21 |        100 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\exec\jumpex.cpp                                                                                         | C++             |         24 |          7 |          8 |         39 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\exec\jumpex.h                                                                                           | C++             |         14 |          0 |          7 |         21 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\exec\literalex.cpp                                                                                      | C++             |         61 |          1 |         20 |         82 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\exec\literalex.h                                                                                        | C++             |         19 |          0 |          7 |         26 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\fileReader.cpp                                                                                          | C++             |         34 |          0 |          4 |         38 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\fileReader.h                                                                                            | C++             |         10 |          0 |          4 |         14 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\instruction.cpp                                                                                         | C++             |         86 |          0 |         12 |         98 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\instruction.h                                                                                           | C++             |         30 |          0 |          6 |         36 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\logger.cpp                                                                                              | C++             |         99 |          6 |         28 |        133 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\logger.h                                                                                                | C++             |         35 |          2 |          9 |         46 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\memory\eeprom.cpp                                                                                       | C++             |         44 |          0 |          7 |         51 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\memory\eeprom.h                                                                                         | C++             |         23 |          0 |          5 |         28 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\memory\program.cpp                                                                                      | C++             |         41 |          6 |          7 |         54 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\memory\program.h                                                                                        | C++             |         23 |          0 |          5 |         28 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\memory\ram.cpp                                                                                          | C++             |        119 |          0 |         12 |        131 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\memory\ram.h                                                                                            | C++             |         35 |          0 |          7 |         42 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\memory\stack.cpp                                                                                        | C++             |         40 |          0 |          7 |         47 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\memory\stack.h                                                                                          | C++             |         21 |          0 |          5 |         26 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\memory\watcher.cpp                                                                                      | C++             |         10 |          3 |          4 |         17 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\pars.cpp                                                                                                | C++             |         51 |          3 |          6 |         60 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\pars.h                                                                                                  | C++             |         11 |          1 |          4 |         16 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\simvm.cpp                                                                                               | C++             |        134 |         13 |         26 |        173 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\simvm.h                                                                                                 | C++             |         55 |          0 |          9 |         64 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\ui\controls.cpp                                                                                         | C++             |         68 |          5 |          7 |         80 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\ui\document.cpp                                                                                         | C++             |         88 |         14 |         12 |        114 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\ui\document.hpp                                                                                         | C++             |          2 |          0 |          1 |          3 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\ui\editor.cpp                                                                                           | C++             |         46 |         16 |         10 |         72 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\ui\ledArray.cpp                                                                                         | C++             |         48 |          7 |          7 |         62 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\ui\logs.cpp                                                                                             | C++             |         39 |          4 |          8 |         51 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\ui\registerTable.cpp                                                                                    | C++             |         73 |          3 |         17 |         93 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\ui\runtime.cpp                                                                                          | C++             |         54 |          1 |          8 |         63 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\ui\settings.cpp                                                                                         | C++             |         55 |          7 |          5 |         67 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\ui\settings_window\flags.cpp                                                                            | C++             |         33 |          5 |          7 |         45 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\ui\settings_window\ioPins.cpp                                                                           | C++             |        232 |         15 |         38 |        285 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\ui\settings_window\registers.cpp                                                                        | C++             |        113 |          7 |         20 |        140 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\ui\settings_window\stack.cpp                                                                            | C++             |         35 |          5 |          6 |         46 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\ui\stats.cpp                                                                                            | C++             |         69 |          5 |          4 |         78 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\utils.cpp                                                                                               | C++             |         18 |          0 |          2 |         20 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\app\main\utils.hpp                                                                                               | C++             |          2 |          8 |          1 |         11 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\.cmake\api\v1\reply\cache-v2-da526e11642b5e352969.json                                         | JSON            |      1,891 |          0 |          1 |      1,892 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\.cmake\api\v1\reply\cmakeFiles-v1-24225ef8ca38e6fcac87.json                                    | JSON            |        946 |          0 |          1 |        947 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\.cmake\api\v1\reply\codemodel-v2-758e30f60194b93d08e7.json                                     | JSON            |        151 |          0 |          1 |        152 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json                                | JSON            |         14 |          0 |          1 |         15 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\.cmake\api\v1\reply\directory-third_party.ftxui-Debug-0db0aaa8d1686286c4e2.json                | JSON            |        162 |          0 |          1 |        163 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\.cmake\api\v1\reply\directory-third_party.ftxui.doc-Debug-d76790322a7cb3047329.json            | JSON            |         14 |          0 |          1 |         15 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\.cmake\api\v1\reply\directory-third_party.ftxui.examples-Debug-54c292ed4bcc46b5143c.json       | JSON            |         14 |          0 |          1 |         15 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\.cmake\api\v1\reply\index-2025-05-12T11-41-46-0926.json                                        | JSON            |        108 |          0 |          1 |        109 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\.cmake\api\v1\reply\target-component-Debug-1586302c852c69c7488a.json                           | JSON            |        460 |          0 |          1 |        461 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\.cmake\api\v1\reply\target-dom-Debug-2aa25009b04eec419f90.json                                 | JSON            |        588 |          0 |          1 |        589 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\.cmake\api\v1\reply\target-picsim-Debug-39817bb60aae0809e20d.json                              | JSON            |        377 |          0 |          1 |        378 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\.cmake\api\v1\reply\target-screen-Debug-f68cc3c8f84022a1fc8c.json                              | JSON            |        281 |          0 |          1 |        282 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\.cmake\api\v1\reply\toolchains-v1-2914590bd2f37228925d.json                                    | JSON            |         95 |          0 |          1 |         96 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\CMakeCache.txt                                                                                 | CMake Cache     |        459 |          0 |        115 |        574 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\CMakeFiles\3.30.5\CMakeCCompiler.cmake                                                         | CMake           |         64 |          0 |         18 |         82 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\CMakeFiles\3.30.5\CMakeCXXCompiler.cmake                                                       | CMake           |         78 |          0 |         24 |        102 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\CMakeFiles\3.30.5\CMakeRCCompiler.cmake                                                        | CMake           |          6 |          0 |          1 |          7 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\CMakeFiles\3.30.5\CMakeSystem.cmake                                                            | CMake           |         10 |          0 |          6 |         16 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\CMakeFiles\3.30.5\CompilerIdCXX\CMakeCXXCompilerId.cpp                                         | C++             |        707 |         62 |        151 |        920 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\CMakeFiles\3.30.5\CompilerIdC\CMakeCCompilerId.c                                               | C               |        689 |         61 |        155 |        905 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\CMakeFiles\CMakeConfigureLog.yaml                                                              | YAML            |        465 |          4 |         26 |        495 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\CPackConfig.cmake                                                                              | CMake           |         68 |          0 |          5 |         73 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\CPackSourceConfig.cmake                                                                        | CMake           |         76 |          0 |          5 |         81 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\Testing\Temporary\LastTest.log                                                                 | Log             |          3 |          0 |          1 |          4 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\cmake_install.cmake                                                                            | CMake           |         54 |          0 |         10 |         64 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\compile_commands.json                                                                          | JSON            |        440 |          0 |          0 |        440 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\third_party\ftxui\CMakeFiles\Export\418a5211b54bdfa9fa029e8a3112c4d3\ftxui-targets-debug.cmake | CMake           |         31 |          0 |          9 |         40 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\third_party\ftxui\CMakeFiles\Export\418a5211b54bdfa9fa029e8a3112c4d3\ftxui-targets.cmake       | CMake           |        112 |          0 |         17 |        129 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\third_party\ftxui\cmake\ftxui-config-version.cmake                                             | CMake           |         56 |          0 |         10 |         66 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\third_party\ftxui\cmake\ftxui-config.cmake                                                     | CMake           |         23 |          0 |          8 |         31 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\third_party\ftxui\cmake_install.cmake                                                          | CMake           |         81 |          0 |         16 |         97 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\third_party\ftxui\doc\cmake_install.cmake                                                      | CMake           |         33 |          0 |          7 |         40 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\third_party\ftxui\examples\cmake_install.cmake                                                 | CMake           |         33 |          0 |          7 |         40 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\cmake-build-debug\third_party\ftxui\ftxui-targets.cmake                                                          | CMake           |         86 |          0 |         16 |        102 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\documentation\DOCU.md                                                                                            | Markdown        |         23 |          0 |         20 |         43 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\grid-container-ftxui\CMakeLists.txt                                                                              | CMake           |         13 |          0 |          3 |         16 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\grid-container-ftxui\README.md                                                                                   | Markdown        |         56 |          0 |         18 |         74 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\grid-container-ftxui\cmake\ftxui.cmake                                                                           | CMake           |         17 |          0 |          4 |         21 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\grid-container-ftxui\example\CMakeLists.txt                                                                      | CMake           |          2 |          0 |          1 |          3 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\grid-container-ftxui\example\main.cpp                                                                            | C++             |         44 |          0 |         12 |         56 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\grid-container-ftxui\include\ftxui-grid-container\grid-container.hpp                                             | C++             |          9 |          0 |          4 |         13 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\grid-container-ftxui\src\ftxui-grid-container\grid-container.cpp                                                 | C++             |         36 |          1 |          9 |         46 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\testprog\TPicSim1.LST                                                                                            | PIC18 Assembler |         29 |          0 |          1 |         30 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\testprog\TPicSim10.LST                                                                                           | PIC18 Assembler |        315 |          0 |          1 |        316 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\testprog\TPicSim101.LST                                                                                          | PIC18 Assembler |         72 |          0 |          1 |         73 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\testprog\TPicSim11.LST                                                                                           | PIC18 Assembler |         52 |          0 |          1 |         53 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\testprog\TPicSim12.LST                                                                                           | PIC18 Assembler |         81 |          0 |          1 |         82 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\testprog\TPicSim13.LST                                                                                           | PIC18 Assembler |         45 |          0 |          1 |         46 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\testprog\TPicSim14.LST                                                                                           | PIC18 Assembler |         45 |          0 |          1 |         46 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\testprog\TPicSim15.LST                                                                                           | PIC18 Assembler |         91 |          0 |          1 |         92 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\testprog\TPicSim2.LST                                                                                            | PIC18 Assembler |         33 |          0 |          1 |         34 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\testprog\TPicSim21.LST                                                                                           | PIC18 Assembler |         86 |          0 |          1 |         87 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\testprog\TPicSim3.LST                                                                                            | PIC18 Assembler |         62 |          0 |          1 |         63 |
